360  	0.0011  	0  	0.006  	0  	0	0.
365 	0.0002 	0 	0.0001 	0 	0 	0
370 	0.0004 	0 	0.0002 	0 	0 	0
375 	0.0007 	0 	0.0035 	0 	0 	0.0001
380 	0.0014 	0 	0.0065 	0.0002 	0 	0.0007
385 	0.0022 	0.0001 	0.0105 	0.0007 	0.0001 	0.0029
390 	0.0042 	0.0001 	0.0201 	0.0024 	0.0003 	0.0105
395 	0.0077 	0.0002 	0.0362 	0.0072 	0.0008 	0.0323
400 	0.0143 	0.0004 	0.0679 	0.0191 	0.002 	0.086
405 	0.0232 	0.0006 	0.1102 	0.0434 	0.0045 	0.1971
410 	0.0435 	0.0012 	0.2074 	0.0847 	0.0088 	0.3894
415 	0.0776 	0.0022 	0.3713 	0.1406 	0.0145 	0.6568
420 	0.1344 	0.004 	0.6456 	0.2045 	0.0214 	0.9725
425 	0.2148 	0.0073 	1.0391 	0.2647 	0.0295 	1.2825
430 	0.2839 	0.0116 	1.3856 	0.3147 	0.0387 	1.5535
435 	0.3285 	0.0168 	1.623 	0.3577 	0.0496 	1.7985
440 	0.3483 	0.023 	1.7471 	0.3837 	0.0621 	1.9673
445 	0.3481 	0.0298 	1.7826 	0.3867 	0.0747 	2.0273
450 	0.3362 	0.038 	1.7721 	0.3707 	0.0895 	1.9948
455 	0.3187 	0.048 	1.7441 	0.343 	0.1063 	1.9007
460 	0.2908 	0.06 	1.6692 	0.3023 	0.1282 	1.7454
465 	0.2511 	0.0739 	1.5281 	0.2541 	0.1528 	1.5549
470 	0.1954 	0.091 	1.2876 	0.1956 	0.1852 	1.3176
475 	0.1421 	0.1126 	1.0419 	0.1323 	0.2199 	1.0302
480 	0.0956 	0.139 	0.813 	0.0805 	0.2536 	0.7721
485 	0.058 	0.1693 	0.6162 	0.0411 	0.2977 	0.5701
490 	0.032 	0.208 	0.4652 	0.0162 	0.3391 	0.4153
495 	0.0147 	0.2586 	0.3533 	0.0051 	0.3954 	0.3024
500 	0.0049 	0.323 	0.272 	0.0038 	0.4608 	0.2185
505 	0.0024 	0.4073 	0.2123 	0.0154 	0.5314 	0.1592
510 	0.0093 	0.503 	0.1582 	0.0375 	0.6067 	0.112
515 	0.0291 	0.6082 	0.1117 	0.0714 	0.6857 	0.0822
520 	0.0633 	0.71 	0.0782 	0.1177 	0.7618 	0.0607
525 	0.1096 	0.7932 	0.0573 	0.173 	0.8233 	0.0431
530 	0.1655 	0.862 	0.0422 	0.2365 	0.8752 	0.0305
535 	0.2257 	0.9149 	0.0298 	0.3042 	0.9238 	0.0206
540 	0.2904 	0.954 	0.0203 	0.3768 	0.962 	0.0137
545 	0.3597 	0.9803 	0.0134 	0.4516 	0.9822 	0.0079
550 	0.4334 	0.995 	0.0087 	0.5298 	0.9918 	0.004
555 	0.5121 	1 	0.0057 	0.6161 	0.9991 	0.0011
560 	0.5945 	0.995 	0.0039 	0.7052 	0.9973 	0
565 	0.6784 	0.9786 	0.0027 	0.7938 	0.9824 	0
570 	0.7621 	0.952 	0.0021 	0.8787 	0.9556 	0
575 	0.8425 	0.9154 	0.0018 	0.9512 	0.9152 	0
580 	0.9163 	0.87 	0.0017 	1.0142 	0.8689 	0
585 	0.9786 	0.8163 	0.0014 	1.0743 	0.8256 	0
590 	1.0263 	0.757 	0.0011 	1.1185 	0.7774 	0
595 	1.0567 	0.6949 	0.001 	1.1343 	0.7204 	0
600 	1.0622 	0.631 	0.0008 	1.124 	0.6583 	0
605 	1.0456 	0.5668 	0.0006 	1.0891 	0.5939 	0
610 	1.0026 	0.503 	0.0003 	1.0305 	0.528 	0
615 	0.9384 	0.4412 	0.0002 	0.9507 	0.4618 	0
620 	0.8544 	0.381 	0.0002 	0.8563 	0.3981 	0
625 	0.7514 	0.321 	0.0001 	0.7549 	0.3396 	0
630 	0.6424 	0.265 	0 	0.6475 	0.2835 	0
635 	0.5419 	0.217 	0 	0.5351 	0.2283 	0
640 	0.4479 	0.175 	0 	0.4316 	0.1798 	0
645 	0.3608 	0.1382 	0 	0.3437 	0.1402 	0
650 	0.2835 	0.107 	0 	0.2683 	0.1076 	0
655 	0.2187 	0.0816 	0 	0.2043 	0.0812 	0
660 	0.1649 	0.061 	0 	0.1526 	0.0603 	0
665 	0.1212 	0.0446 	0 	0.1122 	0.0441 	0
670 	0.0874 	0.032 	0 	0.0813 	0.0318 	0
675 	0.0636 	0.0232 	0 	0.0579 	0.0226 	0
680 	0.0468 	0.017 	0 	0.0409 	0.0159 	0
685 	0.0329 	0.0119 	0 	0.0286 	0.0111 	0
690 	0.0227 	0.0082 	0 	0.0199 	0.0077 	0
695 	0.0158 	0.0057 	0 	0.0138 	0.0054 	0
700 	0.0114 	0.0041 	0 	0.0096 	0.0037 	0
705 	0.0081 	0.0029 	0 	0.0066 	0.0026 	0
710 	0.0058 	0.0021 	0 	0.0046 	0.0018 	0
715 	0.0041 	0.0015 	0 	0.0031 	0.0012 	0
720 	0.0029 	0.001 	0 	0.0022 	0.0008 	0
725 	0.002 	0.0007 	0 	0.0015 	0.0006 	0
730 	0.0014 	0.0005 	0 	0.001 	0.0004 	0
735 	0.001 	0.0004 	0 	0.0007 	0.0003 	0
740 	0.0007 	0.0002 	0 	0.0005 	0.0002 	0
745 	0.0005 	0.0002 	0 	0.0004 	0.0001 	0
750 	0.0003 	0.0001 	0 	0.0003 	0.0001 	0
755 	0.0002 	0.0001 	0 	0.0002 	0.0001 	0
760 	0.0002 	0.0001 	0 	0.0001 	0 	0
765 	0.0001 	0 	0 	0.0001 	0 	0
770 	0.0001 	0 	0 	0.0001 	0 	0
775 	0.0001 	0 	0 	0 	0 	0
780 	0 	0 	0 	0 	0 	0
